品名：大白菜,最低价：0.7,最高价：0.9,平均价：0.8,产地：冀,单位：斤,发布时间：2022-05-01 00:00:00
品名：娃娃菜,最低价：1.0,最高价：1.1,平均价：1.05,产地：豫,单位：斤,发布时间：2022-05-01 00:00:00
品名：小白菜,最低价：0.6,最高价：0.8,平均价：0.7,产地：冀,单位：斤,发布时间：2022-05-01 00:00:00
品名：圆白菜,最低价：0.9,最高价：1.1,平均价：1.0,产地：冀鲁,单位：斤,发布时间：2022-05-01 00:00:00
品名：圆白菜,最低价：0.5,最高价：0.7,平均价：0.6,产地：苏,单位：斤,发布时间：2022-05-01 00:00:00
品名：紫甘蓝,最低价：1.1,最高价：1.2,平均价：1.15,产地：滇闽,单位：斤,发布时间：2022-05-01 00:00:00
品名：芹菜,最低价：1.4,最高价：2.0,平均价：1.7,产地：冀津京,单位：斤,发布时间：2022-05-01 00:00:00
品名：西芹,最低价：2.3,最高价：2.5,平均价：2.4,产地：豫辽,单位：斤,发布时间：2022-05-01 00:00:00
品名：菠菜,最低价：0.8,最高价：1.5,平均价：1.15,产地：冀鲁,单位：斤,发布时间：2022-05-01 00:00:00
品名：莴笋,最低价：0.8,最高价：1.4,平均价：1.1,产地：鲁津,单位：斤,发布时间：2022-05-01 00:00:00
品名：团生菜,最低价：0.8,最高价：1.2,平均价：1.0,产地：云京冀,单位：斤,发布时间：2022-05-01 00:00:00
品名：散叶生菜,最低价：1.3,最高价：2.5,平均价：1.9,产地：冀辽,单位：斤,发布时间：2022-05-01 00:00:00
品名：罗马生菜,最低价：2.5,最高价：3.0,平均价：2.75,产地：冀滇,单位：斤,发布时间：2022-05-01 00:00:00
品名：油菜,最低价：1.0,最高价：1.2,平均价：1.1,产地：冀鲁苏,单位：斤,发布时间：2022-05-01 00:00:00
品名：香菜,最低价：1.0,最高价：1.5,平均价：1.25,产地：冀鲁豫,单位：斤,发布时间：2022-05-01 00:00:00
品名：茴香,最低价：2.0,最高价：2.5,平均价：2.25,产地：冀,单位：斤,发布时间：2022-05-01 00:00:00
品名：韭菜,最低价：0.8,最高价：1.2,平均价：1.0,产地：冀晋,单位：斤,发布时间：2022-05-01 00:00:00
品名：苦菊,最低价：1.7,最高价：2.5,平均价：2.1,产地：冀辽,单位：斤,发布时间：2022-05-01 00:00:00
品名：油麦菜,最低价：1.0,最高价：1.3,平均价：1.15,产地：云冀,单位：斤,发布时间：2022-05-01 00:00:00
品名：菜花,最低价：2.4,最高价：3.0,平均价：2.7,产地：云,单位：斤,发布时间：2022-05-01 00:00:00
品名：黄元帅,最低价：3.5,最高价：4.5,平均价：4.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：花牛,最低价：3.0,最高价：6.0,平均价：4.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：阿克苏,最低价：4.0,最高价：5.2,平均价：4.6,产地：新疆,单位：斤,发布时间：2022-05-01 00:00:00
品名：国光,最低价：2.0,最高价：3.0,平均价：2.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：寒富苹果,最低价：1.6,最高价：3.0,平均价：2.3,产地：辽宁,单位：斤,发布时间：2022-05-01 00:00:00
品名：玫瑰香,最低价：11.0,最高价：14.0,平均价：12.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：红宝石,最低价：13.0,最高价：15.0,平均价：14.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：郁金香,最低价：10.0,最高价：13.0,平均价：11.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：乒乓球,最低价：10.0,最高价：14.0,平均价：12.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：黑提,最低价：10.0,最高价：15.0,平均价：12.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：青提,最低价：10.0,最高价：13.0,平均价：11.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：巨峰,最低价：17.0,最高价：18.0,平均价：17.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：小台农,最低价：3.8,最高价：6.0,平均价：4.9,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：大台农,最低价：5.5,最高价：8.0,平均价：6.75,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：青皮芒果,最低价：4.0,最高价：7.0,平均价：5.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：玉纹,最低价：8.0,最高价：13.0,平均价：10.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：澳芒,最低价：9.0,最高价：13.0,平均价：11.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：高乐蜜,最低价：5.0,最高价：7.0,平均价：6.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：水仙芒果,最低价：6.0,最高价：10.0,平均价：8.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：妃子笑,最低价：20.0,最高价：23.0,平均价：21.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：猪肝,最低价：4.0,最高价：4.5,平均价：4.25,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：猪肺,最低价：3.0,最高价：3.5,平均价：3.25,产地：,单位：个,发布时间：2022-05-01 00:00:00
品名：猪皮,最低价：4.0,最高价：6.0,平均价：5.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：猪肠头,最低价：16.0,最高价：16.0,平均价：16.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：猪肠,最低价：15.0,最高价：15.0,平均价：15.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：整牛,最低价：33.5,最高价：33.5,平均价：33.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛前腱,最低价：38.0,最高价：38.0,平均价：38.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛后腱,最低价：38.0,最高价：38.0,平均价：38.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛前腿,最低价：34.0,最高价：35.0,平均价：34.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛后腿,最低价：34.0,最高价：35.0,平均价：34.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛腰窝,最低价：35.0,最高价：36.0,平均价：35.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛柳,最低价：37.0,最高价：37.0,平均价：37.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：精牛柳,最低价：38.0,最高价：40.0,平均价：39.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛腩,最低价：35.0,最高价：35.0,平均价：35.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛林,最低价：35.0,最高价：35.0,平均价：35.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛油,最低价：6.0,最高价：6.0,平均价：6.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛金钱腱,最低价：50.0,最高价：55.0,平均价：52.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛筋头巴脑,最低价：30.0,最高价：33.0,平均价：31.5,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛骨,最低价：5.0,最高价：5.0,平均价：5.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：牛排骨,最低价：32.0,最高价：32.0,平均价：32.0,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：皇冠梨,最低价：4.2,最高价：4.5,平均价：4.35,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：丰水梨,最低价：4.2,最高价：4.6,平均价：4.4,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：酥梨,最低价：3.3,最高价：4.0,平均价：3.65,产地：,单位：斤,发布时间：2022-05-01 00:00:00
品名：库尔勒香梨,最低价：3.2,最高价：4.5,平均价：3.85,产地：,单位：斤,发布时间：2022-05-01 00:00:00
